Date, GM price
2013-12-31, 40.8700
2014-01-02, 40.9500
2014-01-03, 39.5700
2014-01-06, 40.4000
2014-01-07, 40.2000
2014-01-08, 40.4200
2014-01-09, 40.4900
2014-01-10, 40.0300
2014-01-13, 39.5800
2014-01-14, 40.0200
2014-01-15, 39.3800
2014-01-16, 39.0000
2014-01-17, 38.6000
2014-01-21, 38.3400
2014-01-22, 38.8000
2014-01-23, 38.4200
2014-01-24, 36.8300
2014-01-27, 36.7600
2014-01-28, 36.8100
2014-01-29, 36.3500
2014-01-30, 36.8400
2014-01-31, 36.0800
2014-02-03, 35.2500
2014-02-04, 35.8200
2014-02-05, 35.2400
2014-02-06, 35.2300
2014-02-07, 36.1100
2014-02-10, 34.9000
2014-02-11, 35.2500
2014-02-12, 35.5600
2014-02-13, 35.2000
2014-02-14, 35.9500
2014-02-18, 36.3100
2014-02-19, 36.0300
2014-02-20, 36.5100
2014-02-21, 36.6900
2014-02-24, 36.5500
2014-02-25, 36.1000
2014-02-26, 36.8300
2014-02-27, 36.7700
2014-02-28, 36.2000
2014-03-03, 36.2100
2014-03-04, 36.9300
2014-03-05, 37.5200
2014-03-06, 37.5400
2014-03-07, 37.6900
2014-03-10, 37.0900
2014-03-11, 35.1800
2014-03-12, 34.8600
2014-03-13, 34.0900
2014-03-14, 34.0900
2014-03-17, 34.6300
2014-03-18, 35.1700
2014-03-19, 34.9100
2014-03-20, 35.2600
2014-03-21, 35.0100
2014-03-24, 35.1400
2014-03-25, 34.5100
2014-03-26, 34.2200
2014-03-27, 34.5100
2014-03-28, 34.7300
2014-03-31, 34.4200
2014-04-01, 34.3400
2014-04-02, 34.8800
2014-04-03, 35.4400
2014-04-04, 34.8100
2014-04-07, 34.1100
2014-04-08, 34.5300
2014-04-09, 33.6200
2014-04-10, 33.3000
2014-04-11, 31.9300
2014-04-14, 32.5500
2014-04-15, 33.3600
2014-04-16, 33.9700
2014-04-17, 33.9800
2014-04-21, 33.9800
2014-04-22, 34.2300
2014-04-23, 34.3900
2014-04-24, 34.1700
2014-04-25, 33.7200
2014-04-28, 33.7600
2014-04-29, 33.9900
2014-04-30, 34.4800
2014-05-01, 34.9000
2014-05-02, 34.9700
2014-05-05, 34.7500
2014-05-06, 34.7500
2014-05-07, 35.0700
2014-05-08, 34.8500
